,data
14,13men greek dress figures originally belonged reliefs grave stelae pleated greek chitons reveal classical ways depicting people persisted late antiquity although proportion pose became less realistic fine detail often lost painted limestone 2nd 4th cent oxyrhynchus egypt men greek dress figures originally belonged reliefs grave stelae pleated greek chitons reveal classical ways depicting people persisted late antiquity although proportion pose became less realistic fine detail often lost painted limestone 2nd 4th cent oxyrhynchus egypt crossroads travelling europe ad
15,crossroadsa byzantine emperor germany finger rings made solidi byzantine emperor phocas r made byzantine workshop found separately western germany attesting diplomatic trade contacts frankish byzantine em pires gold diam cm ad kobern gondorf brühl vochem germany european history development cultural patrimony early middle ages viewed com plex process bound internal forces external influences took place period ad connective approach using time line cipher tool enables historical process rationalised terms periodisation exhibition carries several overlying themes aim create linear stratigraphy first runs ad late antiquity gave way post roman period consequent thematic discourse issue heritage memory rome turn initiates internal discussion draws objects historical imagery represent classical world greece rome transformation emerging egypt byzan tium objects became entangled separated original symbolic meanings line question ing supports break classical tradition matically heralded link period great migration europe fifth seventh cen tury ad second theme knowledge discusses quicken ing pace change across europe literacy spread offered new perspectives wake new mission christianisation starting ireland formation key dynasties kingdoms hi er archic societies merovingian carolingian ottonian domains eighth tenth century ad identity central focus art objects exhibition presented reflect represent new humanistic associations different social groups identified artistic imagery aid patronage varied monarchical tribal sei gnorial governments commissioned art validate authority time artistic creativity would enhance ecclesiastical ceremonies rich visual imagery associated material culture would provide visuali sation cultural anthropology imbues euro pean cultural patrimony integration faith follows directly key topic exhibition religions judaism christianity dominant religion europe islam reflected development different regional cul tures europe notably spain whose models came heart muslim world syria arabia iraq acquired unique andalusian flavour artistic forms trade networks cultural exchange iconography objects increased mobility caused far reaching travel trade would turn pro mote new discourses contemporary sources represented exhibition objects acquired new stories along latitude longitude trade routes travel increased interaction globali sation european cultural assimilation northern regions viking incursions effected strategic change planting new settlements coastal regions along major rivers impact new wave migration margins centre europe would noted terms intellectual impact holy roman empire ninth century ad major renovatio gained momentum monastic forms implemented many contemporary sources connected political economic social devel opments furthermore impact warfare felt increasing waves instability swept long period ninth eleventh century ad
16,causing interruptions artistic productivity devel opment exhibition concludes overview shared cultural history presents changing nature european cultural heritage identity crossroads travelling europe ad early middle ages viewed lens relationship art identity impact formation european cultural heritage con text relationship explored historical events seen terms themes faith identity representation knowledge literacy language trade travel historical consciousness warfare authenticity frontiers landmarks changed gave way underlying nostalgia memory separate issues portrayed cohesive entities course developing european history chose thematic approach order enable ac cess ways transcending national local idioms demonstrate cosmopolitan nature cross cultural european story enlightenment themes emerge mirror mobility connectivity crossroads travelling europe ad 1000destruction painting part series de picting rise fall imagi nary city usually associated decline destruction rome especially sack city vandals modern scholarship however tends stress rome downfall long process mainly caused internal power struggles corruption destruction thomas cole oil canvas x cm diversity introduced new theoretical approach binds together overarching methodology focuses regional case studies artefacts drawn across europe object represents connected specific social group place significantly theme identity provides us greater range access historical ethnographic innovative interdisciplinary sources help us identify past connectivities throughout expanding european narrative
17,diversitydiversitydiversitydiversitydiversity
19,18the dark ages name typically used describe years ad tragically obscures rich cul tural diversity era great transformation took place although traditional views posit fall rome occurred ad change began earlier ad instance less twenty two indi viduals claimed emperor roman empire addition political instability people living third century ad saw shifts belief daily life even envi ronment result conditions period often perceived time fragmentation isolation vola tility ancient sources indeed modern imaginations cast years following ad time romans barbarians ad different groups people characterised greek roman sources gentes ethne gained prominence groups interacted came conflict travelled may identified barbarian groups roman older greek sources help us understand culture art history people term barbarian originates sound non greek speaking person appeared utter e barbarbar sources use term necessarily used negatively greeks extolled learn ing virtue eastern barbarians phoenicians egyptians persians third century philosopher plotinus instance went east specifically learn ancient sources however provide much nuance foreigners concerned vandals goths huns instance often viewed violent unen lightened today names still synonyms violence destruction although hard argue early middle ages time peace much groups pillaging groups arose various points period vandals goths huns also franks longobards avars merovingians copts irish several others rich individual cultures within cultures unique expressions found clothing art weapons warfare burial practices forms religion social structures power knowledge ways relating roman non roman pasts years thus solely period upheaval change also fostered continuation religious artistic political institutions seen individual groups adopt christianity islam began continued practices pilgrimage monasticism came conflict lived peace used existing art forms discovered new ones interacted old new neighbours europe beyond story cultures developed changed rome essential part early medieval history following chapter outlines several cultures developed years beginning successor states materialised following collapse rome move ment capital constantinople rise byz antine empire important part narrative help set scene changes culture political adminis tration religion period cultural domain al andalus islamic iberia ad demonstrates cultural religious integration importance trade networks time egypt multicultural mos phere made copts pagans jewish communities early followers islam understood rich material culture preserved north irish insular interconnected role exam ined along technology exploration vikings kievan rus baltic chapter concludes migration period ad exploring history culture diversity people made franks slavs avars rather dark age filled isolated barbarian groups early medieval period time rich cultural diversity roman world map written greek around ad claudius ptolemy alexandria egypt geography compiled geographical knowledge 2nd century roman empire translation arabic 9th century latin greatly influenced geographi cal knowledge cartographic traditions caliphate europe even renaissance world map ptolemy ge ography drawn italy introduction lindsay morehouse crossroads diversity
20,roman empire largest longest lived impe rial state western eurasia ever known extending present day scotland iraq best part five hundred years unity western half broke fifth century ad recent historiogra phy portrayed fundamentally peaceful voluntary political process provincial roman land owners choosing adopt alternative allegiance various immigrant dynasties rose power much constantine charle magne post roman west ad peter heatherconstantine constantine proclaimed emperor york ad death father constantius statue unveiled commemorate event likely took place spot situated next york minster built site roman headquarters sculpture fascinating medley fact conjecture battle hardened warrior looks sword forms shape cross symbolises fact constantine made christianity acceptable religion roman empire
21,crossroads diversity20of roman west ad certainly c find provincial roman landowners making documented accommodations new western powers visigoths spain south western gaul burgundians southeastern gaul franks northern central gaul ostrogoths italian peninsula vandal alan coalition northern africa local roman elites however less europe c ad 6th century western roman empire replaced smaller kingdoms ruled bar barian kings granting nomi nal recognition emperor black se mediterr anean se anor th sea atlantic ocean constantinople cypres damascusantioch jerusalem alexandriatoledo romeravenna corsica sardinia sicilytarant athensparis lyoncolognelondon olisipo lisbon byzantine empirekingdom franks suevi kingdom visigo ths kingdom vand alskingdom ostrogo thskingdom burgundianscel tic lands basquesbrit onsscotspicts angles saxons saxons sla vic peoples avars slavsgepidslombards alemannithuringlan sjutesjutes danes rhine r rhône r danube r nile r
22,21fortunate although evidence archaeological indirect sign previously pros perous villa owning classes late roman britain north western gaul survived political transforma tions fifth century form part new elites early middle ages generally accommoda tions documented elsewhere came immigrant dynasties annexed much west ern empire tax base mid fifth century central authorities longer able maintain suffi ciently powerful armed forces keep state placed provincial roman landowners acutely vulnerable position status based landed wealth empire legal structures defined protected collapse put security holdings doubt leaving roman landowners choice make accommodations could even usually case accommodations cost part landed wealth still better los ing everything happened roman landowners britain north western gaul justinian armies emperor jus tin ian r destroyed vandal alan ostrogothic mo narchies tipping balance latin west decisively towards overall acceptance roman imperial definition nicene tho doxy mosaic san vitale church ravenna italy depicting emperor justinian reti nue maximianus second haloed emperor left bishop ravenna great patron arts nowadays local saint constantine charlemagne
23,crossroads diversity22nevertheless dismantling empire west still left important interest groups place whose look key elements traditional roman culture played structurally defining role next years eastern half roman empire centring constan tinople modern istanbul turkey continued loom emerging successor states much powerful exercised cultural sometimes political hegemony least parts western mediterranean second important group consisted provincial roman landowners survived sub stantial numbers outside britain north western gaul classical education latin language litera ture central element cultural formation fundamental claim class represent perfected rational version humanity willed part divine plan cosmos third broadly roman interest group christian church scholarly literature still tends concentrate christianisation roman world late imperial age looking engagement new imperial religion transformed classical traditions struc tures values least important however simultaneous romanisation christianity process numerous elements classical culture helped transform different dimensions christianity small sect highly devout remade mass imperial religion amongst things greek philosophy underwrote defining stage development christian doctrine standard prac tices classical grammarians helped expound christian religious texts exciting new ways transformed developing sermon styles centuries old iconogra phic patterns helped create new christian art none three sources romanitas survived fall western empire untouched provincial ro man landowning elites customarily purchased expensive education children professional teachers latin language literature grammarians could found every market town em pire speaking perfect classical latin marked elite status also sine qua non highly lucrative civilian careers late ro man central local government simpler institu tional patterns post roman west combined competitive political fragmentation kingdom regu larly fought kingdom put much greater premium military service result vast majority even roman descended members successor state elites evolved warrior aristocrats middle sixth century context expensive literary education longer played structural role elite lifestyles grammarians provided cultural continuity since first century ad progres sively went business across roman west individual families provided children sim plified version old education mothers appar ently playing critical role post roman elites cus tomarily learned read write much less exposure latin literature germanic brooch byzantine roman imagery germanic brooch seems imi tate images byzantine em presses high head dress hand roman imagery well circle gold leaf imitates late roman coin showing roma invicta invincible rome ancient roman motto late antiquity used prop failing empire mo rale thought imagery christianised case female figure might well virgin mary brooch probably worn wealthy woman close cloak gold silver iron diam cm ad found andernach germany zo groot mogelijk af beelden vrijstaand met een achtergrondkleur
24,23as result classical latin slowly evolved different dialectical forms early romance full linguistic apparatus grammarian cases moods ten ses fell day day use even cultural cachet literary accomplishment remained powerful gram marian trained italian poet venantius fortuna tus found huge popularity example grammarian less gaul later sixth century list patrons shows taste classicis ing literary forms remained strong despite dis appearance high level latin teaching also roman descended component new frankish kingdom elite managed transmit classical tastes frankish peers creas ingly intermingled courts merovingian kings church end western empire heralded major change practice church relying grammarians generate well educated epis copate since last quarter fourth century grammarians disappeared therefore sixth charlemagne charlemagne crowned emper pope leo iii christmas day charlemagne stood imperial authority come directly god authority duty example late roman emperors reform church coronation commemorated fresco raphael apostolic palace vatican likely fresco also refers concordat bologna negotiated holy see france since leo iii fact portrait leo x charlemagne portrait french king francis constantine charlemagnecentury saw plethora local initiatives cassiodorus martianus capella create new cur ricula christian education along collections necessary texts overall outcome substantial cultural fragmentation practice church intellectual heritage distributed series local centres none preserved whole churchmen suffered general diminution classical standards latinity texts written copied sixth seventh centuries increasingly displaying non classical orthography grammar accompanied parallel institu tional fragmentation central authority figure christian world fourth fifth cen tury fact roman emperor alone right call general ecumenical councils church many evolving doctrines practices new imperial church ham mered groups churchmen continued develop religious practice councils post roman west kingdom kingdom basis gallic
25,crossroads diversity24
26,25bishops attending councils frankish kingdom hispanic bishops counterparts visi go th ic kingdom etc result post roman western church broke series kingdom based com munities often maintained quite diverse religious standards even fundamental points baptism communities drew inherited roman traditions extent developed ways overall pattern roman survival practice one fragmentation dilution nonetheless defining elements romanitas became integral evolving cultural norms early medieval west official roman imperial ver sion christianity defined ecumenical councils nicaea constantinople even tually standard orthodoxy across en tire ty post roman west taken granted c ad monarchs ostrogothic visigothic vandal alan burgundian kingdoms arian christians subscribing hierarchical view trinity son subordinate father nicaea constantin ople overturned effective founder merovin gian frankish kingdom clovis tempted convert alternative definition faith non imperial form christianity end prevail attributed influence surviving secular religious west roman elites uniformly sub scribed nicene orthodoxy stressing equality father son holy spirit power pres tige rulers constantinople held view clovis formed alliance eastern empire particularly power gothic rulers italy spain southern gaul reign jus tinian r east roman armies eliminated ostrogothic vandal alan monarchies italy north africa clovis sons destroyed inde pendent burgundian kingdom 530s swing balance dramatically favour nicene orthodoxy visigothic monarchy eventually converted arianism third council toledo natural therefore anglo saxon kings southern britain eventually converted christianity last decade sixth century embraced roman nicene orthodoxy soon ad massive losses territory first persians definitively islam reduced empire constantinople global superpower eastern mediterranean regional power eliminated major continuing support romanitas west time moreover important defining characteristics old roman state structure dis appeared across west economic fiscal complexity allowed empire main tain professional armies extensive governmental bureaucracies beloved landowning elites result western successor states simply geographically smaller versions roman empire adopted new limited form state organisa tion based little taxation non professional armed forces composed warrior aristocrats fiscal eco nomic simplicity also shows smaller scale public works defence prestige nonethe less key conduits romanness internal post roman west landowning elites roman descent nicene church managed inculcate several principal roman ideas heart emerging world order central claim roman state ideology rulers appointed god maintain divinely ordained utterly superior social order earth uni formly adopted visigothic frankish successor kings secular rulers claimed real reli gious authority fundamental reason post roman western christianity operated king dom kingdom basis since various kings inherited roman emperors power call church councils appoint bishops king bishops would come councils late roman political ide ologies existence operation written law seen fundamental proof imperial society unique claim part divine plan cos mos inherited throughout roman monastery great imperially sponsored monasteries st gall schools established households archbishoprics greater bishoprics charle magne empire intellec tual centres classical latin restored common stock key texts built real unity western church first time since fall rome map showing church es houses workshops stables infirmary brewery long considered official model carolingian monastery 20th century herb gardens created next churches following example parchment x cm c ad constantine charlemagne
27,26west kings many first generation successor states particularly visigoths burgundians directly continued roman legal patterns ideological well practical reasons subsequent moments christian conversion renewal often accompa nied issuing kind law code even anglo saxon england monarchs staked claim ruling divinely ordained therefore fully legiti mate societies also accordance inherited roman tradition latin increasingly diluted fragmented form quasi romance dialects nonetheless remained pri mary language western churchmen despite much practical day day separation churchmen different realms also managed maintain sense overall unity assisted paradoxically rise islam dismantling eastern imperial power facilitated emergence independent papal republic early eighth century con sequent reorientation papacy towards west century dominated personnel agendas greek speaking eastern christendom papacy exercised formal authority outside rome point reorientation achieved little di rect effect short term beyond generating reques ted clarifications particularly anglo saxon mis sionaries traditional christian practice really maintained sense community point periodic exchange texts early eighth century separate collections visigothic frankish conciliar decisions forty two papal letters collected dio nysius exiguus author translations canons late roman ecumenical councils widely available across former roman west provid ing base common practice even local church communities carried making decisions kingdom councils without formally consult ing one another latinity western church nicene orthodoxy loose sense christian religious com monality well established features early medieval west cultural elements strong ro man heritage vision kings god appointed rulers duty maintain social order uniquely tune divine shared feature western political thinking understanding written law essential reflection legitimate socio political order reflect power common roman heritage even spread east rhine regions yond old imperial frontier ways influence roman heritage came still marked next century succes sive members carolingian dynasty united post roman latin christendom direct control anglo saxon kingdoms remained independent bulk spain fell muslim conquest charle magne imperial coronation christmas day symbolised revival decidedly roman vision imperium merely title substance well emperor also initiated huge reform project renovatio funded proceeds many con quests done much remedy fragmenta tion western europe still powerful roman heritage manuals old roman grammarians dus ted reassert primacy classical latin language church canon necessary texts christian others defined assembled recop ied distributed group major episcopal monastic libraries new standards would maintained spread coming generations charlemagne ruled practically whole latin christendom sequence councils form initiatives preparation service books instance generated much greater practical christian reli gious uniformity across latin west done command carolingian emperors roman popes reflecting genuine late roman traditions overarching imperial religious authority factor well charlemagne succes sors placed increasing emphasis importance written law practical symbolic heart dered government influence late roman itage formation carolingian rule becomes ex traordinary time important remember much changed classical latin revived largely churchmen secular elites western europe spoke variety vernaculars would customarily trained read write latin several centuries revival classical learning also designed serve rigidly religious purposes know many ancient texts stopped cop ied period hence lost forever carolingian churchmen found use em phasis importance written law secular crossroads diversity
28,27realm least symbolic practical quickly died swift collapse fragile caro lingian empire lacked economic institu tional foundations made roman predecessor extraordinarily long lived would twelfth century secular roman lawyers papally centred canon lawyers systematised old rather disparate text traditions bologna pavia resolving contradictions analytical commentary practical roman type legal patterns established across western europe secular religious contexts process establishing practical power roman papacy head western christendom first time charlemagne inherited many ideological agendas reign roman imperial predecessors deployed rule completely different kind state thoroughly transformed socio political economic context mediterranean ad map depicting carolin gian empire 9th century also shows lands control constantinople gives good impression scale islamic world time constantine charlemagne constantinople nicæaadrianoplevenic eaquileiasirmium serdica athensthessalonicaplisk akherson ravenna pisamilan rome naplesbari syracusecarthage qairawanhippofrankish empire croatiaserbiasla voniamora via basquesasturias umayyads idrisids rust amids aghlabidsscotland ireland mercia wessexdanesswedesnorse jerusalemdamascusaleppoamorion caesarea antioch alexandria fusta tbarkaaachen trierfrankfur regensbour g barcelonatoulouse arles zaragossa valencia cordoba feztingistoledooviedo taher tmosul baghdad basrahkufahamadandwinrus polanians east sla vs bul gariamagyar tribesvolga bulgars khazar khaganate toursparis clermont chalon eastern roman empire abbasid calipha te b retons black se mediterr anean se asplit
29,baghdad alexandria km km animals history rarely entire biography dedicated abul abbas elephant exception see reading famous abbasid caliph harun al rashid r gave charlemagne r pres ent hardly matters animal biography incomplete indication born instance information available many medieval prince either know abul abbas comes two sources carolingian state annals annales regni francorum charlemagne biography vita karoli magni contemporary einhard elephant mentioned abbasid sources many references annals certain beast existed makes first doc umented elephant north alps since hannibal incidentally scanty sources prevented even pro fessionals making additional details exhibition held aachen entitled ex oriente isaac white elephant animal colour fact unknown abul abbas diplomatic present rulers exchanged gifts tokens goodwill also kind one upmanship offering unique pre cious gift also meant showing one power wealth power always looked objects prefera bly country sphere influence could serve unique gifts dutch republic sev enteenth century onward used porce lain voc dutch east india company brought china prus sian princes gave amber bal tic king saxony nothing special offer alchemist locked traveller abul abbas charlemagne elephant robin oomkesharun al rashid homage charlemagne although two rulers never met exchange envoys gifts reports three embassies charle magne baghdad court vice versa harun al rashid sent least two embassies frankish empire alliance two superpowers suited conflicts byzantine empire umayyad caliphate ruled cordoba spain painting draft series tapestries reign charles v r consciously accentuates eastern envoys show respect predecessor abul abbas painting brought aachen charlemag ne envoy isaac painting jacob jordaens oil canvas x cm crossroads diversity
