apm_code,data
15301,"egypt old kingdom h mm cream jar call nr apm15301 cream jar earthenware object vessel cylindrical cream jar model imitation calcite cylindrical vase j.capart l'art egyptien iie partie tome iv pl.648 cf.pl.646,647 e.scamuzzi egyptian art mus.turin ex oriente lux annual report nr.24 h.kayser äg kunsthandwerk fig announcements friends apm p1 afb1 faience material allard pierson archaeological collection egyptian egyptian"
7298,3rd century ad h mm aphrodite call nr apm07298 aphrodite earthenware human figure construction object naked standing aphrodite anadyomene venus niche temple twisted columns tympanum shell behind/above head algemeene gids limc ii p.157 n54 venus te lijf tent.cat apm n55 pottery material form egypt egypt allard pierson archaeological collection roman egyptian
3635,archaic period dynasty h mm x w mm vase -3000/-2820 call nr apm03635 vase object stone vessel stocky cylindrical vase narrow mouth rim strikingly layered sedment pl.iii presumed allard pierson announcements 111/112 p.13 pic.10 alabaster material egypt sidmant egypt allard pierson archaeological collection -3000 -2820 egyptian egyptian
12683,old kingdom dynasty h mm x w mm vase cylinder -2670/-2600 call nr apm12683 vase cylinder object stone vessel cylindrical vase incompletely drilled alabaster material egypt egypt allard pierson archaeological collection -2670 -2600 egyptian egyptian
8752,old kingdom dynasty h mm x w mm hieroglyphic text tomb wall fragment -2345/-2195 call nr apm08752 hieroglyphic text tomb wall fragment object writing stone irregular piece tomb wall lines monumental hieroglyphics eulogy title one mehi provision master face antiquity acquisitions 1965-1981 tent.cat apm announcements vd vereniging van vrienden vh apm fig announcements vd vereniging van vrienden vh apm p.6 fig corpus antiquitatum aegyptiacarum edel hieroglyphische inschrifts des alten reiches guide department egypt 39a/b zandee announcements vd association friends vh apm guide collections vh apm p.42 p.47 fig bas relief limestone material egypt sakkara egypt sakkara allard pierson archaeological collection -2345 -2195 egyptian egyptian
14021,old kingdom dynasty h mm x w mm hieroglyphic text tomb wall inscription -2345/-2195 call nr apm14021 hieroglyphic text tomb wall inscription object writing death cult stone fragment tomb stele hieroglyphic text oude rijk praise mehi head lease administration palace announcements association friends apm p.23 vg announcements association friends apm p.1-2 guide collections apm p.42 p.47 fig limestone material sculpture stone material egypt sakkara egypt sakkara allard pierson archaeological collection -2345 -2195 egyptian egyptian hieroglyphs
9274,200-0 bc h mm x w mm stele votive -200/-1 call nr apm09274 stele votive object stone votive relief votive stele dead offers incense burner osiris pours vase altar demotic inscription prayer gifts mark re-opening allard pierson museum amsterdam mark re-opening allard pierson museum amsterdam pl.20 guide egypt department fig announcements association friends vh apm p.7 fig limestone material relief sculpture stone material egypt dendera egypt allard pierson archaeological collection -200 egyptian egyptian demotic
15592,ostracon call nr apm15592 ostracon object pottery ostracon coptic ostracon pottery material egypt egypt allard pierson archaeological collection egyptian egyptian
3933,old kingdom dynasty h mm x w mm man standing -2475/-2345 call nr apm03933 man standing human figure object organic 'ka statue standing man short wig girdle loincloth left leg forward originally left forearm outstretched staff left hand guide collections vh apm p.26 p.25 fig algemeene gids egypt eender en anders 40/48 guide egypt section 51-52/ fig future past robert lunsingh scheurleer p.32 fig p.33 diss j. harvey egypt gift vd nijl ra lunsingh scheurleer fig allard pierson announcements 101/102 p.15 pic.5 wood material egypt egypt allard pierson archaeological collection -2475 -2345 egyptian egyptian
8850,old kingdom h mm x w mm grave relief -2670/-2160 call nr apm08850 grave relief object stone relief relief fragment part slaughter scene left incl text right part flute player matching line text wa van leer annual report ex oriente lux corpus antiquitatum aegyptiacarum jma janssen announcements ex oriente lux12 egypt eender en anders 84/165 guide egypt section fig von bissing babesch egypt gift vd nile ra lunsingh scheurleer fig future past robert lunsingh scheurleer p.35 pic.p.37 limestone material relief sculpture stone material egypt sakkara egypt sakkara allard pierson archaeological collection -2670 -2160 egyptian egyptian
3400,old kingdom dynasty h mm x w mm stele iku -2345/-2195 call nr apm03400 stele iku object relief stone guardian min ikoe sits holding flower front table offerings calf 's head offering text lines heerma van voss van beitel tot penseel egypt gift vd nijl ra lunsingh scheurleer fig kanawati hawawish-akhmim 49/pl 9a 35c van dieren en mensen cat brussels v. haarlem announcements vd vereniging van vrienden vh apm bas relief limestone material egypt egypt achmim allard pierson archaeological collection -2345 -2195 egyptian egyptian
16000,first intermediate period h mm stele false door -2160/-1994 call nr apm16000 stele false door object stone votive architecture writing false door also stele ankhef announcements vd vereniging van vrienden vh apm p.3/4 fig.4 pl.i limestone material sculpture egypt ehnasya el-medina egypt allard pierson archaeological collection -2160 -1994 egyptian egyptian
8539,new kingdom presumably h mm x w mm tomb wall fragment -1550/-1075 call nr apm08539 tomb wall fragment object writing stone fragment tomb wall vertical lines hieratic script part proverb 205-210 pyramid texts resurrection borghouts med2 phoenix corpus antiquitatum aegyptiacarum guide fig catalog met chisel penseel egypt gift nile ra lunsingh scheurleer p77 fig presumably egypt luxor presumably allard pierson archaeological collection -1550 -1075 egyptian egyptian
12698,old kingdom dynasty 2-4 h mm xb mm dish articulated -2820/-2475 call nr apm12698 dish articulated earthenware object vessel articulated dish holes bottom wall corpus vasorum antiquorum pays-bas fasc pl 7/6 pottery material egypt abydos egypt abydos allard pierson archaeological collection -2820 -2475 egyptian egyptian
12647,first intermediate period dynasty h mm x w mm libation vase -2160/-2040 call nr apm12647 libation vase earthenware object vessel fragmentary libation vase text 'de venerated f corpus vasorum antiquorum pays-bas fasc.2 pl.10/13 pottery material egypt qau el-kebir egypt allard pierson archaeological collection -2160 -2040 egyptian egyptian
14238,roman h mm x w mm vase -100/395 call nr apm14238 vase metal object vessel cast bronze vase bronze material casting roman empire allard pierson archaeological collection -100 roman roman
15350,middenrijk h mm x w mm man 's head -1994/-1781 call nr apm15350 man 's head human figure object stone head man wig left shoulder part chest slanted saitic dyn.25 examples middle kingdom eol annual report no.20 12th dynasty service k w announcements v no.2a pict announcements friends apm p.14 pic.1 announcements vd vereniging van vrienden vh apm pic.1 front cover id `` bemused benign '' fragm.head dyn.12 brooklyn brooklyn museum annual x 1968-69 ss. b.von bothmer egyptian sculpture late period no.2 no.13 dyn.25 similar dyn.12 communications association friends apm p.17 fig.17 granite material egypt dahshur egypt allard pierson archaeological collection -1994 -1781 egyptian egyptian
9237,middle kingdom dynasty h mm xd mm larnax -1994/-1781 call nr apm09237 larnax object organic sarcophagus ash box grave irregular sarcophagus fragment recto column text part horus eye verso false door offering table egypt gift nile ra lunsingh scheurleer pict.49 eb terrace eg paintings middle kingdom wood material picture egypt allard pierson archaeological collection -1994 -1781 egyptian egyptian
8789,first intermediate period dynasty h mm xb mm stele relief- -2160/-1994 call nr apm08789 stele relief- object stone grave stele relief deceased intef son ini standing staff left hand scepter right hand short wig starched apron receiving offerings jars fish bolt closed vessel formula sacrifice cat v. doctrine exhibition catalog egypt gift nile ra lunsingh scheurleer fig announcements association friends vh apm 85/86 fig.7 future past robert lunsingh scheurleer p38 fig p.39 limestone material relief egypt egypt allard pierson archaeological collection -2160 -1994 egyptian egyptian engrossed
12978,middenrijk h mm x w mm granary bread bakery model -1994/-1781 call nr apm12978 granary bread bakery model object organic workshop model model granary bread bakery figures carry sacks empty grind grain egypt eender en anders allard pierson announcements 101/102 p.25 pic.8 wood material egypt egypt allard pierson archaeological collection -1994 -1781 egyptian egyptian
9115,middenrijk h mm x w mm x mm boat crew -1994/-1781 call nr apm09115 boat crew object organic votive boat model model boat masts front behind standing man rowers seated wearing white aprons bodies dark brown hair facial features black egypt eender en anders p.27 announcements vd vereniging van vrienden vh apm announcements association friends vh apm allard pierson announcements 101/102 p.25 pic.6 egypt gift nile ra lunsingh scheurleer pic guide collections vh apm p.30 p.31 fig announcements association friends vh apm 63/64 cat.9 face antiquity exhibition catalog p.17 glyptic wood material egypt egypt allard pierson archaeological collection -1994 -1781 egyptian egyptian
1387,new kingdom dynasty 1550-1291 bc h mm x w mm pharaoh 's head amenhotep ii thutmose iii -1550/-1291 call nr apm01387 pharaoh 's head amenhotep ii thutmose iii object stone human figure half head pharaoh nemes king 's beard probably amenhotep ii thutmose iii future past robert lunsingh scheurleer p.44 afb.p.45 luxor museum ancient egyptian art general guide corpus antiquitatum aegyptiacarum egypt eender en anders 46/61 auction catalog rosenberg announcements vd vereniging van vrienden vh apm egypt gift vd nile ra lunsingh scheurleer fig guide collections vh apm p.36 fig allard pierson archaeological collection -1550 -1291 egyptian egyptian
3408,amenophis iii b mm xd mm scarab -1400/-1375 call nr apm03408 scarab amulet object stone skarabee commemorating marriage amenophis iii ti teje names information hieroglyphics general guide guide department egypt fig 47a b corpus antiquitatum aegyptiacarum vh sculpture stone material egypt egypt allard pierson archaeological collection -1400 -1375 egyptian egyptian
360,1400-1375 bc h mm x w mm scarab text -1400/-1375 call nr apm00360 scarab text pottery object jewellery scarab text memory slaying ferocious lions amenophis iii first years reign yellow white cat tent 'from chisel brush apm p.12 algemeene gids catalogus scheurleer nr british museum guides iii iv p.191 vg fl.petrie hist.of egypt ii p.179 vg maspéro hist.anc.ii p.298 faience material greece athens egypt allard pierson archaeological collection -1400 -1375 egyptian egyptian
3799,new kingdom amarna time dynasty h mm x w mm amenophis study -1350/-1333 call nr apm03799 amenophis study human figure object stone study relief fragment head young man pleated headscarf behind head pharaoh amenophis iv high crown egypt gift nile ra lunsingh scheurleer fig eender en anders p.22 limestone material relief sculpture egypt amarna 852/11 egypt allard pierson archaeological collection -1350 -1333 amarna egyptian egyptian
11960,new kingdom dynasty h mm x w mm relief fragment -1378 call nr apm11960 relief fragment human figure object stone fragment limestone relief servant bends left vessel right large vase allard pierson announcements p3 fig announcements vd vereniging van vrienden vh apm p.32 limestone material relief sculpture stone material egypt egypt allard pierson archaeological collection amarna egyptian egyptian
12718,new kingdom amarna time dynasty h mm x w mm vase -1350/-1333 call nr apm12718 vase earthenware object vessel vase protruding rim registers flower decorations blue antiquities national museum antiquities leiden earthenware material painted egypt amarna egypt amarna allard pierson archaeological collection -1350 -1333 egyptian egyptian
8537,new kingdom amarna time dynasty h mm xb mm stele fragment -1350/-1333 call nr apm08537 stele fragment object stone stele relief stele registers top baboons worship solar disc middle deceased worships re-harachti barque deceased wife children sacrifices ptah osiris announcements vd vereniging van vrienden vh apm p.5 25fig.12 44fig.31 p.7 fig.8 corpus antiquitatum aegyptiacarum egypt eender en anders guide department egypt fig.7 loeben boddens hosang archaeological announcements national museum antiquities leiden72 25/ borghouts announcements association friends vh apm phoenix allard pierson announcements p12 fig bas relief stone material sandstone material egypt amarna presumably egypt amarna presumably allard pierson archaeological collection -1350 -1333 egyptian egyptian
8851,"new kingdom dynasty seti h mm xw mm relief saiempetref -1289/-1278 call nr apm08851 relief saiempetref object stone relief relief registers goldsmith saiempetref wife sit chair front altar son incenses pours sits without wig shirt wife mat sacrifice children text lines see also inv 17,000 apm announcements 111/112 p.28 pic.2 17,000 pic.1 allard pierson announcements p.2 pic.1 babesch l.5 egypt eender en anders guide egypt section 35/ fig egypt gift nile ra lunsingh scheurleer fig future past robert lunsingh scheurleer bas relief limestone material stone material egypt abydos presumed egypt abydos presumed allard pierson archaeological collection -1289 -1278 egyptian egyptian"
9114,ramses iv h mm xb mm stele -1153/-1147 call nr apm09114 stele object relief stone stele ramses-seth-her-wenemef donor ramses iv names titles columns top deceased long pleated robe offering incense burner ptah cat beautés d'egypte treignes guide fig pm vd vliet announcements vd vereniging van vrienden vh apm sjemsjoethot announcements vd vereniging van vrienden vh apm v. haarlem haeb v. haarlem announcements vd vereniging van vrienden vh apm bas relief limestone material egypt medinet habu egypt allard pierson archaeological collection -1153 -1147 egyptian egyptian
8875,h mm x w mm ostracon call nr apm08875 ostracon object writing stone ostracon chunk stone letters red black ink limestone material stone material egypt egypt allard pierson archaeological collection egyptian egyptian
1676,third intermediate period dynasty h mm shawabti -900 call nr apm01676 shawabti human figure metal object shawabti akheperre psousennes ombres d'égypte cat musée du malgré-tout treignes b cat.216 pic.p.143 announcements friends allard pierson museum 2-4 pict pl lxiii announcements friends vh allard pierson museum fig.1 corpus antiquitatum aegyptiacarum wvhaarlem announcements friends vh allard pierson museum p.14 bronze material casting egypt tanis egypt allard pierson archaeological collection -900 egyptian egyptian
16500,"21st dynasty -945 bc h mm xw mm xd mm sarcophagus -1075/-945 call nr apm16500 sarcophagus mortuary object organic sarcophagus van amun-priest mummy coffin painted inside outside gods hieroglyphic texts. allard pierson announcements 101/102 p.5 afb 6-11 fig.1a-f 3a/b 4a/b 5,6 pl.ii iiia/b inside back cover pl iv outside back cover wood stucco material woodworking painting egypt luxor egypt thebes allard pierson archaeological collection -1075 -945 egyptian egyptian"
9223,late ptolemaic later h mm xd mm book dead fragment -150 call nr apm09223 book dead fragment object organic writing fragment book dead papyrus book dead somtus sketch designer temple amun announcements association friends vh apm fig allard pierson announcements pp.6-8 fig.1-4 p.27 fig.3 egypt eender en anders p.135 guide egypt section pic .3 phoenix p.31 egypt gift vd nile ra lunsingh scheurleer fig announcements association friends vh apm p.7 fig papyrus material egypt thebes egypt thebes allard pierson archaeological collection -150 egyptian egyptian hieratic
8811,new kingdom presumably h mm x w mm shawabti -1550/-1075 call nr apm08811 shawabti figure human object stone shawabti reading priest kaheri cl vb1 w4b h4 i0 b0 tp1c/v.iiia corpus antiquitatum aegyptiacarum ii egypt eender en anders p.32 fig egypt gift vd nile ra lunsingh scheurleer fig limestone material egypt egypt allard pierson archaeological collection -1550 -1075 egyptian egyptian
13283,h mm shawabti 12x call nr apm13283 shawabti 12x earthenware figure human object shawabtis light green faience material egypt egypt allard pierson archaeological collection egyptian egyptian
391,late time h mm x w mm neith standing -664/-332 call nr apm00391 neith standing human figure god metal object standing neith long close-fitting robe high crown staff left hand eyes collar inlaid silver oorspr rectangular base heavy dove green patina cat keizers a/d nile leuven apm algemeene gids allard pierson announcements p9 pic.2 catalog scheurleer egypt gift vd nijl ra lunsingh scheurleer p.102 fig bronze material casting egypt egypt allard pierson archaeological collection -664 -332 egyptian egyptian late period
8065,600-500 bc h mm aryballos woman 's head -600/-500 call nr apm08065 aryballos woman 's head pottery object vessel plastic aryballos torso shape woman 's head details painted black big eyes long hair long earrings vg maximowa vases plastiques cva nl amsterdam f.songu p.34 pl.321.2-5 earthenware material egypt egypt naukratis presumably allard pierson archaeological collection -600 -500 greek eastern greek greek
13292,mm horus eye oedjat- call nr apm13292 horus eye udjat- pottery amulet object horus eye amulet sphere blue faience material egypt egypt allard pierson archaeological collection egyptian egyptian
7774,late period saitic dynasty h mm x w mm relief lotus processing -664/-525 call nr apm07774 relief lotus processing object relief stone relief right left picking lotuses pressing thereof pouring accompanying song dance women respectively accompanying hieroglyphic texts algemeene gids egypt eender en anders 75/143 future past robert lunsingh scheurleer p.50 afb.p.51 v. bissing babesch 9/2 v. bissing denkmaeler 101/2 klebs die reliefs und malereien des neuen reiches n.2 limestone material stone material high relief egypt mit-rahineh egypt mit- rahine allard pierson archaeological collection -664 -525 egyptian egyptian
12760,h mm amulet taweris call nr apm12760 amulet taweris pottery figure human object taweris amulet faience material egypt egypt allard pierson archaeological collection egyptian egyptian
4307,late time saitic dynasty later h mm baboon amulet -664/-525 call nr apm04307 baboon amulet pottery animal figure amulet object amulet sitting baboon cup solar disc horns green faience material shape egypt egypt allard pierson archaeological collection -664 -525 egyptian egyptian
15326,late time h mm xl mm xb mm isis amulet call nr apm15326 isis amulet pottery amulet human figure myth object amulet isis horus lap isis lactans light green finely worked announcements association friends vh apm pic.15 faience material egypt allard pierson archaeological collection egyptian egyptian
12977,late time h mm x w mm apis bull -664/-332 call nr apm12977 apis bull animal metal object bronze walking apis bull crown open legs egypt gift vd nile ra lunsingh scheurleer 117/fig.81 bronze material casting egypt egypt allard pierson archaeological collection -664 -332 egyptian egyptian
9475,late time saitic dynasty later h mm x w mm shawabti -664 call nr apm09475 shawabti pottery figure human object shawabti tjaneheb cl xia1 w36 h5 i8 b26b tp3b/v viia corpus antiquitatum aegyptiacarum ii faience material shape egypt egypt allard pierson archaeological collection -664 egyptian egyptian
9492,late saite dynasty h mm x w mm shawabti -664/-525 call nr apm09492 shawabti pottery figure human object shawabti wahibre cl xia1 w36 h4 i8 b26a tp7c/p corpus antiquitatum aegyptiacarum ii faience material mold egypt egypt allard pierson archaeological collection -664 -525 egyptian egyptian
9502,late time saitic dynasty h mm x w mm shawabti -664/-525 call nr apm09502 shawabti pottery figure human object shawabti psamtik cl xia12 w36 h4 i8 b26a tp3b/v.viaa notices society friends vh apm faience material shape egypt egypt allard pierson archaeological collection -664 -525 egyptian egyptian
8562,mm fish mummy call nr apm08562 fish mummy object organic votive nile perch fish mummy swaddling clothes painting circles front eyes dark band behind head front tail announcements vd vereniging van vrienden vh apm animal material mummyfication textile material egypt egypt allard pierson archaeological collection egyptian egyptian
8563,mm fish mummy call nr apm08563 fish mummy object organic votive nile perch fish mummy swaddling clothes painting circles front eyes dark band behind head front tail animal material mummyfication textile material egypt egypt allard pierson archaeological collection egyptian egyptian
8417,late time h mm x w mm shape type unknown -664/-332 call nr apm08417 shape type unknown object organic votive mummified fish nile perch presumed egypt different 126/266 linen material egypt egypt allard pierson archaeological collection -664 -332 egyptian egyptian
8831,late saitian dynasty h mm cat sitting -664/-525 call nr apm08831 cat sitting animal figure metal object sitting cat bastet eye remnant gold leaf guide collections apm p.38 p.43 fig cat tent cat v. leer 1936/1957 egypt eender en anders p.35 guide egypt section fig announcements association friends vh apm p.8 fig.3a-b egypt gift nile ra lunsingh scheurleer fig bronze material casting egypt bubastis presumably egypt bubastis presumably allard pierson archaeological collection -664 -525 egyptian egyptian
20,ptolemaic 332-30 bc h mm papyrus case osiris -332/-30 call nr apm00020 papyrus case osiris human figure writing worship object organic papyrus case form god osiris ptah sokaris combined hollow statue mummy-shaped feather crown wig breast ornament face gilded text hollow statue intended book dead guide collections apm p.30 p .42 p.35 fig announcements association friends vh apm fig corpus antiquitatum aegyptiacarum egypt eender en anders p.134 guide egypt section page iii allard pierson announcements 101/102 p.13 pic.1 hermeneus 86-4 nr.4 p.172/3 pic.4 g.jurriaans- helle future past robert lunsingh scheurleer p.48 pic.p.49 egypt gift nile ra lunsingh scheurleer p.62 pic wood stucco material egypt egypt allard pierson archaeological collection -332 -030 egyptian egyptian
8837,late time h mm king kneeling -664/-332 call nr apm08837 king kneeling metal object votive kneeling pharaoh nemes loincloth worshiping position announcements vd vereniging van vrienden vh apm fig cat rm '31 legrain coll h. hoffmann pl.37/no.468 announcements ex oriente lux no.45 egypt gift vd nile ra lunsingh scheurleer fig bronze material egypt egypt allard pierson archaeological collection -664 -332 egyptian egyptian
13219,h mm x w mm neck support call nr apm13219 neck support amulet object stone neck support white limestone limestone material stone material egypt egypt allard pierson archaeological collection egyptian egyptian
8795,ptolemaic 3rd century bc h mm x w mm sechmet building block -283/-245 call nr apm08795 sechmet building block object stone relief construction building block temple dendera sunken relief standing goddess sechmet right lion 's head red oval sun disc uraeus head staff left hand ankh right hand remains painting hieroglyphs future past robert lunsingh scheurleer p .54 pic.p.55 guide collections apm p.50 p.51 pic ap announcements p5 pic.5 allard pierson announcements p4 pic cat.v.leer 1936/1957 no.7 guide egypt section p.28 pict corpus antiquitatum aegyptiacarum wvhaarlem announcements association friends apm nr.93 p.10 fig.1 pl.iii inside back cover egypt gift vd nijl ra lunsingh scheurleer fig limestone material relief egypt dendera egypt dendera allard pierson archaeological collection -283 -245 egyptian egyptian ptolemaic
8796,ptolemaic h mm x w mm building block -284/-246 call nr apm08796 building block object stone relief construction recessed relief adjacent building blocks suitable temple dendera left god ptah staff right ptolemy ii philadelphus offering ptah statue ma-at text hieroglyphs remainder red painting corpus antiquitatum aegyptiacarum wvhaarlem allard pierson announcements p4 fig catalog v.leer 1936/1957 guide egypt section p.28 fig exhibition catalog communications association friends vh apm pic announcements association friends apm nr.93 p.10 pic.1 pl.iii inside back cover future past robert lunsingh scheurleer p.54 pic.p.55 guide collections apm pic egypt gift nile ra lunsingh scheurleer pic limestone material relief stone material egypt dendera egypt dendera allard pierson archaeological collection -284 -246 egyptian egyptian ptolemaic
7126,late period dynasty 26-30 later h mm x w mm pharaoh 's head model -664 call nr apm07126 pharaoh 's head model plaster human figure object pharaoh 's head without associated headgear british museum nh ff. varga bull du musée hongrois p.1-20 cast plaster material egypt egypt allard pierson archaeological collection -664 egyptian egyptian
7772,ptolemaic h mm x w mm relief ptolemy -332/-30 call nr apm07772 relief ptolemy object stone relief right ptolemy offers statuette maat lion-god miysis crowned solar disc uraeus standing pedestal offering table winged solar disc uraei either side wax rods. acor algemeene gids babesch ii bifao chronique d'egypte 77-99 guide egypt section rectrav 23mon.piot egypt gift vd nile ra lunsingh scheurleer fig.129 cat `` aegypten `` die letzten pharaonen '' nr announcements vd vereniging van vrienden vh apm p.12 fig.26 bas relief limestone material stone material egypt leontopolis egypt leontopolis allard pierson archaeological collection -332 -030 egyptian egyptian
