apm_code,data
15290,"predynastic Egypt, h 177 (mm) d 115, vase, -3300, Call Nr:APM15290, vase, earthenware, object, vessel, vase, narrow-necked egg-shaped, red polished ware, CVA Den Haag 2, Pays Bas 50, No. 5, EOL Annual Report 7, 1940, 550, No. 11, H. Kayser, Äg Kunsthandwerk 1969, 74 ss., Fig. 69, pottery material, Egypt, Badari grave 3800, Egypt, Allard Pierson Archaeological Collection , -3300, egyptian egyptian, "
04162,"prehistoric or earlier, d 044 (mm), chisel, -3000, Call Nr:APM04162, chisel, utensil, object, stone, triangular chisel, see back inv. card: drawing from 3 sides by N Shirai, Aug 26 2004, Exit, Flint Material, Egypt; Fayoem, Egypt, Allard Pierson Archaeological Collection, -3000, Egyptian Egyptian, t.XIII,"
04218,"d 65 (mm), arrowhead, Call Nr:APM04218, arrowhead, object, stone, weapon, arrowhead with concave base, see back of inv. card: drawing from 3 sides by N Shirai, Sep 16, 2004, exit , stone material, flint material, Egypt; Fayoem, Egypt, Allard Pierson Archaeological Collection, Egyptian Egyptian, type XIIIa,"
04164,"prehistoric or earlier, d 049 (mm), chisel, -3000, Call Nr:APM04164, chisel, utensil, object, stone, triangular chisel; base side straight and shorter, see front inv. card: drawing from 3 sides through N Shirai, Sept. 22, 2004, Exit, Flint Material, Egypt; Fayoem, Egypt, Allard Pierson Archaeological Collection, -3000, Egyptian Egyptian, Type XIIIe,"
04219,"d 060 (mm), arrowhead, Call Nr:APM04219, arrowhead, object, stone, weapon, arrowhead with concave base; one wing broken off, see back of inv.card: drawing from 3 sides by N Shirai, Sep 23 2004, Exit, Flint Material, Egypt; Fayoem; Qasr el Sagha, Egypt, Allard Pierson Archaeological Collection, Egyptian Egyptian, Type XIIIa,"
03974,"predynastic or earlier, d 150 (mm), necklace, +pendant, -3000, Call Nr:APM03974, necklace, +pendant, object, organic, pottery, stone, jewellery, necklace of various beads: shell, faience, carnelian, bone, stone; with shell pendant, miscellaneous material, Egypt; Badari, Egypt, Allard Pierson Archaeological Collection, -3000, Egyptian Egyptian, "
03863,"Archaic period dynasty 1-2, h 026 (mm), pendant, plate, -3000/-2670, Call Nr:APM03863, pendant, plate, object, organic, jewellery, rectangular smooth plate with on short side a small rectangular projection in which hole; pendant or tag (presumably), ivory material, Egypt; Abydos, Egypt, Allard Pierson Archaeological Collection, -3000, -2670, Egyptian Egyptian, "
12637,"predynastic or earlier, h 105 (mm) x w 85 (mm), ball pot, -3000, Call Nr:APM12637, ball pot, pottery, utensil, object, ball pot ('Polished Ware') ', pottery material, Egypt, Egypt, Allard Pierson Archaeological Collection, -3000, Egyptian Egyptian, "
12720,"predynastic or earlier, h 295 (mm) x w 80 (mm), Shape type unknown, -3000, Call Nr:APM12720, Shape type unknown, earthenware, object, dishware, Cylindrical wavy-handled vase, with painted imitation of cross rope, pottery material, Egypt, Egypt, Allard Pierson Archaeological Collection, -3000, Egyptian Egyptian,"
15276,"Predynastic Egypt, Negadeh II, h 242 (mm) x w 204 (mm), vase or pitcher, -3300/3000, Call Nr:APM15276, vase or pitcher, earthenware; vessel, object, vase or pitcher, egg-shaped, curved neck, 2 horizontal scalloped ears (wavy-handled), CVA Den Haag 2, Pays Bas 52, no.3, EOL Annual Report 7, 1940, 550, no.14, H.Kayser, Äg Kunsthandwerk 1969, 76, pict. .75, pottery material, Egypt; Abydos, Egypt, Allard Pierson Archaeological Collection, -3300, 3000, Egyptian egyptian,"
03943,"predynastic or earlier, h 110 (mm) x w 245 (mm), bowl, -3000, Call Nr:APM03943, bowl, earthenware, object, vessel, wide bowl, outside slightly convex; round bottom; baked askew, Corpus Vasorum Antiquorum II, IA, pl 2:9, Annual Report Ex Oriente Lux 29 1987 p.96 (vHaarlem), pottery material, Egypt; Badari, Egypt, Allard Pierson Archaeological Collection, -3000, Egyptian Egyptian,"
03858,"Archaic Period Dynasty 1-2, h 035 (mm) xd 069 (mm), lion, -3000/-2670, Call Nr:APM03858, lion, utensil, bijou, game, object, organic, reclining lion, erecter van spel (probably), Allard Pierson Announcements 111/112, 2016, p.14, pic.13, General Guide 23, Egypt, Eender en Anders, 91, 183, Guide for the Egypt section, 1986, pic. 28, Announcements vd Vereniging van Vrienden vh APM 83 (2002) 7 fig 6, Egypt, gift vd Nile, RA Lunsingh Scheurleer, 1992 141, fig 108, ivory material, sculpture, Egypt: Abydos, Egypt, Allard Pierson Archaeological Collection, -3000 , -2670, Egyptian Egyptian, "
12676,"predynastic or earlier, h 165 (mm) x w 106 (mm), palette, face paint, -3000, Call Nr:APM12676, palette, face paint, utensil, object, organic, oblong face paint palette with 2 falcon heads (worn off) , shell material, Egypt, Egypt, Allard Pierson Archaeological Collection, -3000, Egyptian Egyptian, "
12678,"predynastic or earlier, h 155 (mm) x w 105 (mm), palette, face paint, -3000, Call Nr:APM12678, palette, face paint, utensil, object, organic, diamond-shaped face paint palette, Announcements vd Vrienden vh Allard Pierson Museum 117 (2018) 2-7, Fig. 6, Shell Material, Egypt, Egypt, Allard Pierson Archaeological Collection, -3000, Egyptian Egyptian,"
04044,"predynastic or earlier, h 240 (mm) x w 200 (mm), vase, -3000, Call Nr:APM04044, vase, earthenware, object, vessel, conical pot with wide mouth and narrow base; above black, below red , Corpus Vasorum Antiquorum II, IB, 1/7, Egypt, Eender en Anders (1983) 56/73, Guide to the Egypt Section, 1986, , pl I, Annual Report Ex Oriente Lux 29, 93&97, Allard Pierson Announcements 111/ 112, 2016, p.13, Fig. 9, Pottery material, Egypt; Qau el-Kebir, Egypt, Allard Pierson Archaeological Collection, -3000, Egyptian Egyptian, black-topped,"
15999,"Predynastic Egypt, h 048 (mm), male, -3200, Call Nr:APM15999, male, human figure, object, organic, figure of man with beard, carved from ivory (from hippopotamus (presumably)); eyes originally inlaid , Future for the Past, Robert Lunsingh Scheurleer, 2009, p.30, pic. p.31, Announcements from the Association of Friends vh APM 97 (2008) p.3 pic.3, carved, ivory material, Egypt, Egypt, Allard Pierson Archaeological Collection, -3200, Egyptian Egyptian, "
16476,"1500-1000 BC, h 220 (mm), vase, -1500/-1000, Call Nr:APM16476, vase, pottery, object, vessel, pear-shaped vase with two horizontal pierced ears, Decorated Ware, painted with brownish red vertical bands, within which zigzag stripes. Spiral on bottom bottom., pottery material, Egypt, Allard Pierson Archaeological Collection, -1500, -1000, Egyptian, Egyptian Egyptian, "
15302,"3000 BC, h 045 (mm) x w 018 (mm) x d 023 (mm), sitting baboon, -3000, Call Nr:APM15302, sitting baboon, pottery, animal figure, object, sitting baboon, frontal, with front legs on knees, Communications from the Association of Friends vh APM 83 (2002) 6 fig.5, Ex Oriente Lux, Annual Report 7, 1940, 550, nr.16, Flinders Petrie, Abydos II, 1903, pl.VI,X,XI, H.Kayser, Aeg Kunsthandwerk, 1969, pic,131, faience material, Egypt; Abydos, Allard Pierson Archaeological Collection, -3000, egyptian egyptian, "
15301,"Egypt Old Kingdom, h 057 (mm), cream jar, Call Nr:APM15301, cream jar, earthenware, object, vessel, cylindrical cream jar, model, imitation of calcite cylindrical vase, J.Capart, l'Art Egyptien IIe partie , Tome IV, 1947, pl.648, cf.pl.646,647, E.Scamuzzi, Egyptian Art in the Mus.Turin, Ex Oriente Lux, Annual Report 7, 1940, 551 nr.24, H.Kayser, Äg Kunsthandwerk, 1969, Fig. 120, Announcements Friends APM 87 2004 p1 afb1, faience material, Allard Pierson Archaeological Collection, egyptian egyptian, "
07298,"3rd century AD, h 090 (mm), Aphrodite, 0200, 0300, Call Nr:APM07298, Aphrodite, earthenware; human figure construction, object, naked standing Aphrodite Anadyomene, Venus, in niche or temple: between 2 twisted columns with tympanum, shell behind/above head, Algemeene Gids 451, LIMC II p.157 n54, Venus te Lijf, tent.cat APM 1985 n55, pottery material, form, Egypt, Egypt, Allard Pierson Archaeological Collection, 0300, 0200, Roman Egyptian,"
03635,"Archaic period dynasty 1, h 125 (mm) x w 070 (mm), vase, -3000/-2820, Call Nr:APM03635, vase, object, stone, vessel, stocky cylindrical vase, narrow mouth rim, strikingly layered, Sedment I, Pl.III, 31 (presumed), Allard Pierson Announcements 111/112, 2016, p.13 pic.10, alabaster material, Egypt Sidmant, Egypt, Allard Pierson Archaeological Collection, -3000, -2820, Egyptian Egyptian ,"
12683,"Old Kingdom dynasty 3, h 135 (mm) x w 100 (mm), vase, cylinder, -2670/-2600, Call Nr:APM12683, vase, cylinder, object, stone, vessel, cylindrical vase, incompletely drilled out, alabaster material, Egypt, Egypt, Allard Pierson Archaeological Collection, -2670, -2600, Egyptian Egyptian,"
08752,"Old Kingdom dynasty 6, h 333 (mm) x w 271 (mm), hieroglyphic text, tomb wall fragment, -2345/-2195, Call Nr:APM08752, hieroglyphic text, tomb wall fragment, object, writing, stone, irregular piece of a tomb wall with 5 lines of monumental hieroglyphics with a eulogy and title of one Mehi, provision master, Face of Antiquity : acquisitions 1965-1981, tent.cat APM 1982 21, Announcements vd Vereniging van Vrienden vh APM 24, fig. 11, Announcements vd Vereniging van Vrienden vh APM 77 p.6, fig. 11, Corpus Antiquitatum Aegyptiacarum I, 32, Edel, Hieroglyphische Inschrifts des Alten Reiches (1981) , 88, Guide for the Department of Egypt, 1986, , 39a/b, Zandee, Announcements vd Association of Friends vh APM 8, 1, A guide to the collections vh APM 2002, p.42, p.47 fig 37, bas relief, limestone material, Egypt, Sakkara, Egypt, Sakkara, Allard Pierson Archaeological Collection, -2345, -2195, Egyptian Egyptian,"
14021,"Old Kingdom dynasty 6, h 210 (mm) x w 230 (mm), hieroglyphic text, tomb wall inscription, -2345/-2195, Call Nr:APM14021, hieroglyphic text, tomb wall inscription, object, writing, death cult, stone, fragment tomb stele with hieroglyphic text from Oude Rijk, praise from Mehi, head of the lease administration of the palace, Announcements from the Association of Friends of APM 71 p.23, vg Announcements from the Association of Friends of APM 8 p.1-2, A guide to the collections of APM 2002 , p.42, p.47 fig. 37, limestone material, sculpture, stone material, Egypt; Sakkara, Egypt; Sakkara, Allard Pierson Archaeological Collection, -2345, -2195, Egyptian Egyptian, hieroglyphs,"
09274,"200-0 BC, h 535 (mm) x w 270 (mm), stele, votive, -200/-1, Call Nr:APM09274, stele, votive, object, stone, votive, relief, votive stele; dead offers with incense burner to Osiris and pours from vase on altar; demotic inscription: prayer, Gifts to mark the re-opening 1976, Allard Pierson Museum, Amsterdam, 1976 to mark the re-opening 1976, Allard Pierson Museum, Amsterdam, 1976, No. 11, pl.20, Guide to the Egypt Department, 1986, , Fig. 9, Announcements from the Association of Friends vh APM 77 p.7, Fig. 14, limestone material, relief sculpture, stone material, Egypt; Dendera, Egypt , Allard Pierson Archaeological Collection, -200, 0000, Egyptian Egyptian, demotic, "
15592,"ostracon, Call Nr:APM15592, ostracon, object, pottery; ostracon, coptic ostracon, pottery material, Egypt, Egypt, Allard Pierson Archaeological Collection, Egyptian Egyptian,"
03933,"Old Kingdom dynasty 5, h 730 (mm) x w 180 (mm), man standing, -2475/-2345, Call Nr:APM03933, man standing, human figure, object, organic, 'Ka' statue of standing man with short wig, girdle and loincloth, left leg forward, originally with left forearm outstretched and staff in left hand, A guide to the collections vh APM 2002, p.26, p.25 fig. 16, Algemeene Gids 25, Egypt, Eender en Anders 40/48, Guide to the Egypt Section, 1986, 51-52/ Fig. 29, Future for the Past, Robert Lunsingh Scheurleer, 2009, p.32, Fig. p.33, diss. J. Harvey, Egypt, gift vd Nijl, RA Lunsingh Scheurleer, 1992 35, fig. 15, Allard Pierson Announcements 101/102 (2010) p.15, pic.5, wood material, Egypt, Egypt, Allard Pierson Archaeological Collection, -2475, -2345, Egyptian Egyptian,"
08850,"Old Kingdom, h 295 (mm) x w 430 (mm), grave relief, -2670/-2160, Call Nr:APM08850, grave relief, object, stone; relief, relief fragment with part of a slaughter scene on the left, incl. text; on the right part of a flute player with matching line of text, WA van Leer in Annual Report Ex Oriente Lux 1, 5 (1937) , 466, Corpus Antiquitatum Aegyptiacarum I, 30, JMA Janssen, in Announcements Ex Oriente Lux12 ( 1957) , no. 8*, Egypt, Eender en Anders 84/165, Guide for the Egypt section, 1986, fig. 18, Von Bissing, BABesch 9, 1 (1934) , 3, Egypt, gift vd Nile, RA Lunsingh Scheurleer, 1992 fig. 97, Future for the Past, Robert Lunsingh Scheurleer, 2009, p.35, pic.p.37, limestone material, relief sculpture, stone material, Egypt; Sakkara, Egypt; Sakkara, Allard Pierson Archaeological Collection, -2670, -2160, Egyptian Egyptian,"
03400,"Old Kingdom dynasty 6, h 340 (mm) x w 320 (mm), stele IKU, -2345/-2195, Call Nr:APM03400, stele IKU, object, relief, stone, the guardian of Min, Ikoe, sits holding a flower in front of a table with offerings and a calf's head, above her an offering text in 2 lines, Heerma van Voss, Van Beitel tot Penseel (1973) , 11, Egypt, gift vd Nijl, RA Lunsingh Scheurleer, 1992 fig. 59, Kanawati, Hawawish-Akhmim 7 (1987) 49/pl 9a (35c), Van Dieren en Mensen, cat Brussels 1988, 182, v. Haarlem, Announcements vd Vereniging van Vrienden vh APM 43 (1988) 35, bas relief , limestone material, Egypt, Egypt; Achmim, Allard Pierson Archaeological Collection, -2345, -2195, Egyptian Egyptian,"
16000,"First Intermediate Period, h 920 (mm), stele, false door, -2160/-1994, Call Nr:APM16000, stele, false door, object, stone, votive, architecture, writing, false door also stele of Ankhef, Announcements vd Vereniging van Vrienden vh APM 97 (2008) p.3/4 fig.4, pl.I, limestone material, sculpture, Egypt; Ehnasya el-Medina, Egypt, Allard Pierson Archaeological Collection, -2160, -1994, Egyptian Egyptian,"
08539,"New Kingdom (presumably), h 275 (mm) x w 400 (mm), tomb wall, fragment, -1550/-1075, Call Nr:APM08539, tomb wall, fragment, object, writing, stone, fragment of a tomb wall with in 14 vertical lines in hieratic script part of Proverb 222 ($205-210) from the Pyramid Texts (on resurrection), Borghouts, Med2, 6 & Phoenix 17, 110, Corpus Antiquitatum Aegyptiacarum I, 34, Guide, fig. 40, catalog Met Chisel and Penseel, 13, Egypt, gift from the Nile, RA Lunsingh Scheurleer, 1992, p77, fig. (presumably), Egypt; Luxor (presumably), Allard Pierson Archaeological Collection, -1550, -1075, Egyptian Egyptian,"
12698,"Old Kingdom dynasty 2-4, h 105 (mm) xb 185 (mm), dish, articulated, -2820/-2475, Call Nr:APM12698, dish, articulated, earthenware, object, vessel, articulated dish with holes in bottom and wall, Corpus Vasorum Antiquorum Pays-Bas fasc. 2, pl. 7/6, pottery material, Egypt; Abydos, Egypt; Abydos, Allard Pierson Archaeological Collection, -2820, -2475, Egyptian Egyptian,"
12647,"First Intermediate Period Dynasty 9, h 135 (mm) x w 110 (mm), libation vase, -2160/-2040, Call Nr:APM12647, libation vase, earthenware, object, vessel, fragmentary libation vase with text 'De venerated [. . .]'f, Corpus Vasorum Antiquorum Pays-Bas fasc.2, pl.10/13, pottery material, Egypt; Qau el-Kebir, Egypt, Allard Pierson Archaeological Collection, -2160, -2040, Egyptian Egyptian,"
14238,"Roman, h 123 (mm) x w 59 (mm), vase, -100/395, Call Nr:APM14238, vase, metal, object, vessel, cast bronze vase, bronze material, casting, Roman Empire, Allard Pierson Archaeological Collection, -100, 0395, Roman Roman, "
15350,"Middenrijk, h 185 (mm) x w 140 (mm), man's head, -1994/-1781, Call Nr:APM15350, man's head, human figure, object, stone, head of man with wig, with left shoulder and part of chest, slanted, Saitic (dyn.25 or 26) after examples from the Middle Kingdom?, EOL Annual Report 7, 1940, 550, no.20 (12th dynasty), Service k and W Announcements V, 1938, 9 no.2a, pict. 5, Announcements Friends APM 100 (2009) p.14, pic.1, Announcements vd Vereniging van Vrienden vh APM 83 (2002) 5 pic.1 and front cover, ID ""Bemused and benign"" a fragm.head of dyn.12 in Brooklyn, The Brooklyn Museum Annual X, 1968-69, 77 ss., B.von Bothmer, Egyptian Sculpture of the Late Period no.2, no.13 (dyn.25, similar to dyn.12), Communications from the Association of Friends of the APM No. 93 (2006) p.17, fig.17, granite material, Egypt; Dahshur, Egypt, Allard Pierson Archaeological Collection, -1994, -1781, egyptian egyptian,"
09237,"Middle Kingdom dynasty 12, h 350 (mm) xd 570 (mm), larnax, -1994/-1781, Call Nr:APM09237, larnax, object, organic, sarcophagus, ash box, grave, irregular sarcophagus fragment: recto column text and part Horus eye, verso false door and offering table, Egypt, gift from the Nile, RA Lunsingh Scheurleer, 1992 , 78, pict.49, EB Terrace, Eg Paintings of the Middle Kingdom (1967), wood material, picture, Egypt; , Allard Pierson Archaeological Collection, -1994, -1781, Egyptian Egyptian,"
08789,"First Intermediate Period Dynasty 11, h 280 (mm) xb 180 (mm), stele, relief-, -2160/-1994, Call Nr:APM08789, stele, relief-, object, stone, grave, stele in relief deceased Intef son of Ini, standing > with staff in left hand and scepter in right hand, with short wig and starched apron, receiving offerings (jars, fish, bolt, closed vessel), above: formula of sacrifice, Cat. v. Doctrine 1936 / 1957 No. 1, Exhibition catalog 1931, No. 219, Egypt, gift from the Nile, RA Lunsingh Scheurleer, 1992 Fig. 60, Announcements from the Association of Friends vh APM 85/86 (2003) 4 Fig.7, Future for the Past, Robert Lunsingh Scheurleer, 2009, p38, fig. p.39, limestone material, relief, Egypt, Egypt, Allard Pierson Archaeological Collection, -2160, -1994, Egyptian Egyptian, engrossed, "
12978,"Middenrijk, h 255 (mm) x w 182 (mm), granary or bread bakery, model, -1994/-1781, Call Nr:APM12978, granary or bread bakery, model, object, organic; workshop, model, model of a granary or bread bakery with figures who carry sacks, empty them and grind grain, Egypt, Eender en Anders 87, no. 172, Allard Pierson Announcements 101/102 (2010) p.25, pic.8, wood material, Egypt, Egypt, Allard Pierson Archaeological Collection, -1994, -1781, Egyptian Egyptian, "
09115,"Middenrijk, h 415 (mm) x w 140 (mm) x d 670 (mm), boat with crew, -1994/-1781, Call Nr:APM09115, boat with crew, object, organic; votive, boat model, model of boat, 2 masts, in front and behind a standing man, between 8 rowers seated, all wearing white aprons, bodies dark brown, hair and facial features black, Egypt, Eender en Anders, p.27, 18, Announcements vd Vereniging van Vrienden vh APM 11, Announcements from the Association of Friends vh APM 24, Allard Pierson Announcements 101/102 (2010) p.25, pic.6, Egypt, gift from the Nile, RA Lunsingh Scheurleer, 1992 14, pic. 7, A guide to the collections vh APM 2002, p.30, p.31 Fig. 22, Announcements from the Association of Friends vh APM 63/64, cat.9, Face of Antiquity, exhibition catalog 1982, p.17, glyptic, wood material, Egypt, Egypt , Allard Pierson Archaeological Collection, -1994, -1781, Egyptian Egyptian,"
01387,"New Kingdom dynasty 18 (1550-1291 BC), h 275 (mm) x w 185 (mm), pharaoh's head, Amenhotep II or Thutmose III, -1550/-1291, Call Nr:APM01387, pharaoh's head, Amenhotep II or Thutmose III, object, stone, human figure, half head of a pharaoh with nemes and king's beard, probably Amenhotep II or Thutmose III, Future for the Past, Robert Lunsingh Scheurleer, 2009, p.44, afb.p.45, The Luxor Museum of Ancient Egyptian Art ( 1979) , 60 (no. 76), General Guide 29, Corpus Antiquitatum Aegyptiacarum I, 10, Egypt, Eender en Anders 46/61, Auction catalog Rosenberg no. 60, Announcements vd Vereniging van Vrienden vh APM 40 (1987), Egypt, gift vd Nile, RA Lunsingh Scheurleer, 1992 101 fig. 64, A guide to the collections vh APM 2002, p.36 fig. Allard Pierson Archaeological Collection, -1550, -1291, Egyptian Egyptian, "
03408,"Amenophis III, b 037 (mm) xd 052 (mm), scarab, -1400/-1375, Call Nr:APM03408, scarab, amulet, object, stone, skarabee commemorating marriage Amenophis III and Ti or Teje, with names of both and information in hieroglyphics, General Guide 66, Guide to the Department of Egypt, 1986, , fig. 47a, b, Corpus Antiquitatum Aegyptiacarum 1986, 1, 101 (vH), sculpture, stone material, Egypt, Egypt, Allard Pierson Archaeological Collection, -1400, -1375, Egyptian Egyptian, "
00360,"1400-1375 BC, h 70 (mm) x w 47 (mm), scarab with text, -1400/-1375, Call Nr:APM00360, scarab with text, pottery, object, jewellery, scarab with text in memory to the slaying of 102 ferocious lions, by Amenophis III in the first 10 years of his reign, yellow white, Cat tent 'From chisel to brush', APM 1973, p.12, Algemeene Gids 67, Catalogus Scheurleer 1909 nr. , British Museum Guides III and IV p.191, vg Fl.Petrie, Hist.of Egypt II p.179, vg Maspéro, Hist.Anc.II, p.298, faience material, Greece, Athens, Egypt, Allard Pierson Archaeological Collection, -1400, -1375, Egyptian Egyptian, "
03799,"New Kingdom Amarna time dynasty 18, h 155 (mm) x w 130 (mm), Amenophis, study, -1350/-1333, Call Nr:APM03799, Amenophis, study, human figure, object, stone, study relief fragment: before head of a young man with a pleated headscarf, behind the head of pharaoh Amenophis IV with a high crown, Egypt, gift from the Nile, RA Lunsingh Scheurleer, 1992 126 fig. Eender en Anders, 1984, p.22, 1, limestone material, relief sculpture, Egypt; Amarna (852/11), Egypt, Allard Pierson Archaeological Collection, -1350, -1333, Amarna, Egyptian Egyptian,"
11960,"New Kingdom dynasty 18, h 225 (mm) x w 200 (mm), relief, fragment, -1378, Call Nr:APM11960, relief, fragment, human figure, object, stone, fragment limestone relief: servant bends to the left over vessel, on the right a large vase, Allard Pierson Announcements 104 (2011) p3, fig. 1, Announcements vd Vereniging van Vrienden vh APM 50 p.32, limestone material, relief sculpture, stone material, Egypt, Egypt, Allard Pierson Archaeological Collection, - 1378, Amarna, Egyptian Egyptian, "
12718,"New Kingdom Amarna time dynasty 18, h 370 (mm) x w 165 (mm), vase, -1350/-1333, Call Nr:APM12718, vase, earthenware, object, vessel, vase with protruding rim; in 4 registers, flower decorations in blue, Antiquities from the National Museum of Antiquities at Leiden 72, 30, earthenware material, painted, Egypt; Amarna, Egypt; Amarna, Allard Pierson Archaeological Collection, -1350, -1333, Egyptian Egyptian,"
08537,"New Kingdom Amarna time dynasty 18, h 155 (mm) xb 147 (mm), stele, fragment, -1350/-1333, Call Nr:APM08537, stele, fragment, object, stone, stele, relief, stele in 3 registers: at the top baboons worship the solar disc, in the middle the deceased worships Re-Harachti in a barque, below the deceased with wife and 2 children sacrifices to Ptah or Osiris, Announcements vd Vereniging van Vrienden vh APM 2 p.5;25fig.12 ;44fig.31;78 (2000) p.7 fig.8, Corpus Antiquitatum Aegyptiacarum I, 41, Egypt, Eender en Anders 23 (no. 3), Guide to the Department of Egypt, 1986, fig.7, Loeben, Boddens Hosang, Archaeological announcements from the National Museum of Antiquities in Leiden72 (1992) , 25/ 8, Borghouts, in Announcements from the Association of Friends vh APM 2, 5 & Phoenix 17, 105, Allard Pierson Announcements 104 (2011) p12, 13 , fig. 6, bas relief, stone material, sandstone material, Egypt; Amarna (presumably), Egypt; Amarna (presumably), Allard Pierson Archaeological Collection, -1350, -1333, Egyptian Egyptian,"
08851,"New Kingdom Dynasty 19 Seti I, h 750 (mm) xw 560 (mm), relief, Saiempetref, -1289/-1278, Call Nr:APM08851, relief, Saiempetref, object, stone; relief, relief in 2 registers : above the goldsmith Saiempetref and his wife sit on a chair in front of an altar, a son incenses them and pours, below he sits without wig and shirt with his wife on a mat: sacrifice their 4 children; text: 27 lines; see also inv 17,000, APM Announcements 111/112 2016 p.28 pic.2 (for 17,000 pic.1), Allard Pierson Announcements 108 (2013) p.2, pic.1, BABesch I, 2 ( 1926) , l.5, Egypt, Eender en Anders 82, no. 161, Guide for the Egypt section, 1986, 35/ fig. 17, Egypt, gift from the Nile, RA Lunsingh Scheurleer, 1992 fig. 109, Future for the Past, Robert Lunsingh Scheurleer, 42 , no. 8, bas relief, limestone material, stone material, Egypt / Abydos (presumed), Egypt / Abydos (presumed), Allard Pierson Archaeological Collection, -1289, -1278, Egyptian Egyptian,"
